"CODICE_REGIONE","CODICE_PROVINCIA","SIGLA_AUTOMOBILISTICA","ID_COMUNE","CODICE_COMUNE","LABEL_COMUNE_IT","LABEL_COMUNE_DE","DATA_INIZIO_VALIDITA","DATA_FINE_VALIDITA"
"00","003","NO","003971-(1861-03-17)","003971","DONATO","","17-03-1861","01-03-1870"
"00","003","NO","003971-(1870-03-01)","003971","DONATO","","01-03-1870","12-01-1927"
"00","002","VC","002055-(1927-01-12)","002055","DONATO","","12-01-1927","01-01-1948"
"01","002","VC","002055-(1948-01-01)","002055","DONATO","","01-01-1948","01-01-1995"
"01","096","BI","096024-(1995-01-01)","096024","DONATO","","01-01-1995","31-12-9999"
"00","003","NO","003972-(1861-03-17)","003972","DORZANO","","17-03-1861","12-01-1927"
"00","002","VC","002056-(1927-01-12)","002056","DORZANO","","12-01-1927","01-01-1948"
"01","002","VC","002056-(1948-01-01)","002056","DORZANO","","01-01-1948","01-01-1995"
"01","096","BI","096025-(1995-01-01)","096025","DORZANO","","01-01-1995","31-12-9999"
"00","003","NO","003973-(1861-03-17)","003973","FLECCHIA","","17-03-1861","12-01-1927"
"00","002","VC","002816-(1927-01-12)","002816","FLECCHIA","","12-01-1927","13-03-1928"
"00","002","VC","002816-(1928-03-13)","002816","FLECCHIA","","13-03-1928","13-03-1928"
"00","003","NO","003974-(1861-03-17)","003974","FOBELLO","","17-03-1861","12-01-1927"
"00","002","VC","002057-(1927-01-12)","002057","FOBELLO","","12-01-1927","01-01-1948"
"01","002","VC","002057-(1948-01-01)","002057","FOBELLO","","01-01-1948","31-12-9999"
"00","003","NO","003975-(1861-03-17)","003975","FONTANETTO","","17-03-1861","22-01-1863"
"00","003","NO","003975-(1863-01-22)","003975","FONTANETTO DA PO","","22-01-1863","12-01-1927"
"00","002","VC","002058-(1927-01-12)","002058","FONTANETTO DA PO","","12-01-1927","01-01-1948"
"01","002","VC","002058-(1948-01-01)","002058","FONTANETTO DA PO","","01-01-1948","29-04-1955"
